"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","coordinateUncertaintyInMeters","continent","stateProvince","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","preparations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","identifier.1","catalogNumber","institutionCode","county","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","sex","dynamicProperties","individualCount","datasetName","verbatimEventDate","institutionID","collectionID","higherClassification","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","earliestEpochOrLowestSeries","lowestBiostratigraphicZone","locationID","lifeStage","establishmentMeans","references","organismQuantity","organismQuantityType","recordNumber","nomenclaturalCode","georeferenceProtocol","verbatimLocality","language","type","accessRights","bibliographicCitation","dateIdentified","georeferencedBy","identifiedBy","locationAccordingTo","eventTime","identificationRemarks","georeferencedDate","footprintWKT","verbatimCoordinateSystem","organismID","previousIdentifications","identificationQualifier","georeferenceSources","habitat","datasetID","otherCatalogNumbers","rightsHolder","fieldNumber","disposition","vernacularName","ownerInstitutionCode","projectId","http...unknown.org.nick","informationWithheld","taxonID","http...unknown.org.captive","identificationID","materialSampleID","associatedSequences","taxonConceptID","vitality","eventRemarks","locationRemarks"
"3357580305","Lampropeltis extenuata (Brown, 1890)",29.33502,-81.75326,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:08:55.631+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Marion",1970,4,24,"1970-04-24",114,114,"2025-02-13T16:45:25.000+00:00","2025-03-24T04:08:55.631+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"56C8A144-09BE-497A-B306-9011ABFF9074","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Christman, Steven","default - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","56C8A144-09BE-497A-B306-9011ABFF9074","28225","UF","Marion","Ocala National Forest, County Road 314, 1.3 mi SW Salt Springs","3357580305","Apparently lost, see loan H-1093, 1970","Herp","56C8A144-09BE-497A-B306-9011ABFF9074","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357581306","Lampropeltis extenuata (Brown, 1890)",29.21646,-82.05782,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:08:49.793+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",1600,"NORTH_AMERICA","Florida","North America, United States, Florida, Marion",1970,10,26,"1970-10-26",299,299,"2025-02-13T16:44:30.000+00:00","2025-03-24T04:08:49.793+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"428DD39B-1BF3-44EC-999C-B1036D0485FC","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Campbell, Howard","alcohol-formalin fixed - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","428DD39B-1BF3-44EC-999C-B1036D0485FC","65113","UF","Marion","Silver Springs","3357581306",NA,"Herp","428DD39B-1BF3-44EC-999C-B1036D0485FC","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357590306","Lampropeltis extenuata (Brown, 1890)",29.66797,-82.37778,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:08:54.356+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1970,10,19,"1970-10-19",292,292,"2025-02-13T16:51:56.000+00:00","2025-03-24T04:08:54.356+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"5036265C-4A77-4EFD-AB65-EFC82BB82ADE","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Gregg, J.","alcohol-formalin fixed - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","5036265C-4A77-4EFD-AB65-EFC82BB82ADE","65051","UF","Alachua","Gainesville, 1502 NW 36 Way","3357590306",NA,"Herp","5036265C-4A77-4EFD-AB65-EFC82BB82ADE","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357594309","Lampropeltis extenuata (Brown, 1890)",29.6514,-82.32448,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:09:14.121+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",8000,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1970,10,19,"1970-10-19",292,292,"2025-02-13T16:53:21.000+00:00","2025-03-24T04:09:14.121+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"9C7C8581-A640-4CE2-B5A6-B69F5AFA62F7","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Gregg, J.","skeleton - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","9C7C8581-A640-4CE2-B5A6-B69F5AFA62F7","77386","UF","Alachua","Gainesville","3357594309",NA,"Herp","9C7C8581-A640-4CE2-B5A6-B69F5AFA62F7","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357581309","Lampropeltis extenuata (Brown, 1890)",29.66794,-82.3778,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:08:57.441+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1971,5,20,"1971-05-20",140,140,"2025-02-13T16:51:36.000+00:00","2025-03-24T04:08:57.441+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"5E6095E0-ABE2-47C5-B274-468E31864738","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Campbell, Howard","alcohol-formalin fixed - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","5E6095E0-ABE2-47C5-B274-468E31864738","65052","UF","Alachua","Gainesville, 1500 NW 36 Way","3357581309",NA,"Herp","5E6095E0-ABE2-47C5-B274-468E31864738","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357592301","Lampropeltis extenuata (Brown, 1890)",29.64906,-82.38167,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:08:26.025+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1971,10,1,"1971-10-01",274,274,"2025-02-13T16:53:35.000+00:00","2025-03-24T04:08:26.025+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"0984ABFD-BF4B-4854-A896-C078F4AD770A","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Edelman, M.","skeleton - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","0984ABFD-BF4B-4854-A896-C078F4AD770A","29138","UF","Alachua","Gainesville, SW 38 Street & 3 Place","3357592301",NA,"Herp","0984ABFD-BF4B-4854-A896-C078F4AD770A","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357588318","Lampropeltis extenuata (Brown, 1890)",29.64906,-82.38167,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:09:24.348+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1971,10,1,"1971-10-01",274,274,"2025-02-13T16:52:54.000+00:00","2025-03-24T04:09:24.348+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"EBEB1C21-A884-4A2A-ACF8-7C44CEC51F9E","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Eddleman, Mark","alcohol-formalin fixed - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","EBEB1C21-A884-4A2A-ACF8-7C44CEC51F9E","65050","UF","Alachua","Gainesville, SW 38 Street & 3 Place","3357588318",NA,"Herp","EBEB1C21-A884-4A2A-ACF8-7C44CEC51F9E","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357583318","Lampropeltis extenuata (Brown, 1890)",29.64906,-82.38167,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:09:26.933+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1971,10,1,"1971-10-01",274,274,"2025-02-13T16:53:03.000+00:00","2025-03-24T04:09:26.933+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"FD97F48B-B13C-4B1C-B69C-BAFB7A149E09","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Edelman, N.","skeleton - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","FD97F48B-B13C-4B1C-B69C-BAFB7A149E09","47679","UF","Alachua","Gainesville, SW 38 Street & 3 Place","3357583318",NA,"Herp","FD97F48B-B13C-4B1C-B69C-BAFB7A149E09","Lampropeltis extenuata (Brown, 1890)","Male","434 mm SVL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319015947","Stilosoma extenuatum Brown, 1890",27.9858,-82.4086,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2025-03-02T11:12:15.329+00:00","2025-03-02T13:24:08.957+00:00",439,"PRESERVED_SPECIMEN","PRESENT",2455052,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Stilosoma","extenuatum","SPECIES","SYNONYM","NT",NA,"NORTH_AMERICA","Florida","North America, United States, Florida, Hillsborough",1971,11,7,"1971-11-07",311,311,"2022-03-25T18:30:00.000+00:00","2025-03-02T13:24:08.957+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"http://n2t.net/ark:/65665/350358910-2803-475c-8c32-d8ac1f217e81","none","none","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","f34f47db-05bd-4cb7-9d43-691f029b68cc",FALSE,NA,"Ethanol","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","http://n2t.net/ark:/65665/350358910-2803-475c-8c32-d8ac1f217e81","USNM 581568","USNM","Hillsborough","Tampa, 6112 44th Street","1319015947",NA,"HERP","http://n2t.net/ark:/65665/350358910-2803-475c-8c32-d8ac1f217e81","Stilosoma extenuatum Brown, 1890","Male",NA,1,"NMNH Extant Biology","7 November 1971","urn:lsid:biocol.org:col:34871","urn:uuid:cc104cbf-fd8e-4801-9b71-36731a7db1a0","Animalia, Chordata, Vertebrata, Reptilia, Squamata, Ophidia, Colubrinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3357586308","Lampropeltis extenuata (Brown, 1890)",29.66858,-82.37758,"colmafu,inmafu","832b8188-f762-11e1-a439-00145eb45e9a","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-24T04:01:39.359+00:00","2025-03-24T04:09:02.272+00:00",602,"PRESERVED_SPECIMEN","PRESENT",8295545,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Lampropeltis","extenuata","SPECIES","ACCEPTED","NT",50,"NORTH_AMERICA","Florida","North America, United States, Florida, Alachua",1972,10,6,"1972-10-06",280,280,"2025-02-13T16:52:34.000+00:00","2025-03-24T04:09:02.272+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"6C58C210-1EDE-4645-A5AA-1BF48C3F4967","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec","222203e9-346a-42a5-abf7-6201e5e99c39",FALSE,"Carson boys","alcohol-formalin fixed - 1","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","6C58C210-1EDE-4645-A5AA-1BF48C3F4967","65047","UF","Alachua","Gainesville, 1605 NW 36 Way","3357586308",NA,"Herp","6C58C210-1EDE-4645-A5AA-1BF48C3F4967","Lampropeltis extenuata (Brown, 1890)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133338511","Stilosoma extenuatum Brown, 1890",29.01,-82.69,"rdativ,osiic,incomis,inmafu","2fba9985-ac30-46cb-99bf-91ccde0d8d2f","8483a1f0-1032-11db-ae00-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2025-03-01T05:01:27.524+00:00","2025-03-01T05:10:12.581+00:00",426,"FOSSIL_SPECIMEN","PRESENT",2455052,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Stilosoma","extenuatum","SPECIES","SYNONYM","NT",25,"NORTH_AMERICA","Florida",NA,1974,1,NA,"1974-01",NA,NA,"2014-02-28T16:00:01.000+00:00","2025-03-01T05:10:12.581+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"6112676B-C01F-4CED-907D-2D56DCB990FD","none","none","ab8b25c4-f95e-437b-82df-5aed3c9031ec",NA,FALSE,"Florida State Museum Crew","default - 5","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","6112676B-C01F-4CED-907D-2D56DCB990FD","26380","UF","Citrus","INGLIS 1A","1133338511",NA,"VP","6112676B-C01F-4CED-907D-2D56DCB990FD","Stilosoma extenuatum Brown, 1890",NA,NA,5,NA,NA,NA,NA,NA,"Cenozoic","Quaternary","Pleistocene","Blancan","CI001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319583672","Stilosoma extenuatum Brown, 1890",28.0617,-82.3983,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2025-03-02T11:12:15.329+00:00","2025-03-02T13:20:23.513+00:00",439,"PRESERVED_SPECIMEN","PRESENT",2455052,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Stilosoma","extenuatum","SPECIES","SYNONYM","NT",804.67,"NORTH_AMERICA","Florida","North America, United States, Florida, Hillsborough",1974,1,18,"1974-01-18",18,18,"2022-03-25T18:59:00.000+00:00","2025-03-02T13:20:23.513+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"http://n2t.net/ark:/65665/3695499ae-1d67-47bf-ba1d-0ac943bf7e58","none","none","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","f34f47db-05bd-4cb7-9d43-691f029b68cc",FALSE,NA,"Ethanol","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","http://n2t.net/ark:/65665/3695499ae-1d67-47bf-ba1d-0ac943bf7e58","USNM 581570","USNM","Hillsborough","Tampa, 0.25 mi E of University of South Florida Campus","1319583672",NA,"HERP","http://n2t.net/ark:/65665/3695499ae-1d67-47bf-ba1d-0ac943bf7e58","Stilosoma extenuatum Brown, 1890",NA,NA,1,"NMNH Extant Biology","18 January 1974","urn:lsid:biocol.org:col:34871","urn:uuid:cc104cbf-fd8e-4801-9b71-36731a7db1a0","Animalia, Chordata, Vertebrata, Reptilia, Squamata, Ophidia, Colubrinae",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1322594780","Stilosoma extenuatum Brown, 1890",29.25,-81.83,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2025-03-02T11:12:15.329+00:00","2025-03-02T13:24:37.996+00:00",439,"PRESERVED_SPECIMEN","PRESENT",2455052,1,44,11592253,6172,9391215,8295545,8295545,"Lampropeltis extenuata (Brown, 1890)","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis extenuata","Stilosoma","extenuatum","SPECIES","SYNONYM","NT",8046.72,"NORTH_AMERICA","Florida","North America, United States, Florida, Marion",1974,11,23,"1974-11-23",327,327,"2022-03-25T15:52:00.000+00:00","2025-03-02T13:24:37.996+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"http://n2t.net/ark:/65665/3ee86f9fb-003c-45a0-b477-5197c021b5cd","none","none","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","f34f47db-05bd-4cb7-9d43-691f029b68cc",FALSE,NA,"Ethanol","WGS84","Squamata","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","http://n2t.net/ark:/65665/3ee86f9fb-003c-45a0-b477-5197c021b5cd","USNM 581567","USNM","Marion","Silver Springs (town), W of, Forest Road 73 between Forest Road 88 and Forest Road 79, Ocala National Forest","1322594780",NA,"HERP","http://n2t.net/ark:/65665/3ee86f9fb-003c-45a0-b477-5197c021b5cd","Stilosoma extenuatum Brown, 1890",NA,NA,1,"NMNH Extant Biology","23 November 1974","urn:lsid:biocol.org:col:34871","urn:uuid:cc104cbf-fd8e-4801-9b71-36731a7db1a0","Animalia, Chordata, Vertebrata, Reptilia, Squamata, Ophidia, Colubrinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
